iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 10, 2022"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"191,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6861","KEYENCE CORP","Information Technology","Equity","25,378,864.31","0.14","25,378,864.31","54,200.00","468.24","Japan","Tokyo Stock Exchange","USD","115.97","JPY","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","25,333,013.54","0.14","25,333,013.54","622,458.00","40.70","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","24,894,811.00","0.14","24,894,811.00","345,428.00","72.07","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"SYK","STRYKER CORP","Health Care","Equity","24,814,895.07","0.14","24,814,895.07","99,911.00","248.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","24,716,295.24","0.14","24,716,295.24","326,417.00","75.72","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","24,532,104.96","0.14","24,532,104.96","407,781.00","60.16","United States","NASDAQ","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","24,526,690.99","0.14","24,526,690.99","1,024,979.00","23.93","India","National Stock Exchange Of India","USD","76.31","INR","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","24,356,158.24","0.14","24,356,158.24","106,844.00","227.96","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","24,238,437.68","0.13","24,238,437.68","11,938.00","2,030.36","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","23,312,559.84","0.13","23,312,559.84","154,839.00","150.56","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","23,299,254.09","0.13","23,299,254.09","219,411.00","106.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","23,254,050.45","0.13","23,254,050.45","161,565.00","143.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","23,186,585.60","0.13","23,186,585.60","125,360.00","184.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
